episode	epsilon	score	bonus	straight	full	low	high	yum
1480000	1	56.15	0.3	0.0	0.0	0.0	0.0	0.0
1485000	1	54.13	0.21	0.0	0.0	0.0	0.0	0.0
1490000	1	55.07	0.25	0.0	0.0	0.0	0.0	0.0
1495000	1	54.28	0.22	0.0	0.0	0.0	0.0	0.0
1500000	1	55.58	0.3	0.0	0.0	0.0	0.0	0.0
1505000	1	57.58	0.27	0.0	0.0	0.0	0.0	0.0
1510000	1	54.83	0.25	0.0	0.0	0.0	0.0	0.0
1515000	1	54.8	0.26	0.0	0.0	0.0	0.0	0.0
1520000	1	55.08	0.2	0.0	0.0	0.0	0.0	0.0
1525000	1	53.94	0.19	0.0	0.0	0.0	0.0	0.0
1530000	1	55.21	0.24	0.0	0.0	0.0	0.0	0.0
1535000	1	55.03	0.28	0.0	0.0	0.0	0.0	0.0
1540000	1	56.24	0.21	0.0	0.0	0.0	0.0	0.0
1545000	1	56.01	0.26	0.0	0.0	0.0	0.0	0.0
1550000	1	57.35	0.25	0.0	0.0	0.0	0.0	0.0
1555000	1	54.85	0.19	0.0	0.0	0.0	0.0	0.0
1560000	1	54.56	0.22	0.0	0.0	0.0	0.0	0.0
1565000	1	56.23	0.28	0.0	0.0	0.0	0.0	0.0
1570000	1	55.37	0.28	0.0	0.0	0.0	0.0	0.0
1575000	1	53.82	0.2	0.0	0.0	0.0	0.0	0.0
1580000	1	56.49	0.28	0.0	0.0	0.0	0.0	0.0
1585000	1	56.78	0.32	0.0	0.0	0.0	0.0	0.0
1590000	1	54.23	0.24	0.0	0.0	0.0	0.0	0.0
1595000	1	53.33	0.17	0.0	0.0	0.0	0.0	0.0
1600000	1	55.23	0.27	0.0	0.0	0.0	0.0	0.0
1605000	1	56.04	0.22	0.0	0.0	0.0	0.0	0.0
1610000	1	55.06	0.29	0.0	0.0	0.0	0.0	0.0
1615000	1	54.32	0.2	0.0	0.0	0.0	0.0	0.0
1620000	1	53.92	0.26	0.0	0.0	0.0	0.0	0.0
1625000	1	57.19	0.39	0.0	0.0	0.0	0.0	0.0
1630000	1	52.49	0.16	0.0	0.0	0.0	0.0	0.0
1635000	1	55.05	0.26	0.0	0.0	0.0	0.0	0.0
1640000	1	55.95	0.31	0.0	0.0	0.0	0.0	0.0
1645000	1	56.08	0.29	0.0	0.0	0.0	0.0	0.0
1650000	1	54.83	0.28	0.0	0.0	0.0	0.0	0.0
1655000	1	54.6	0.2	0.0	0.0	0.0	0.0	0.0
1660000	1	57.16	0.24	0.0	0.0	0.0	0.0	0.0
1665000	1	56.0	0.25	0.0	0.0	0.0	0.0	0.0
1670000	1	55.02	0.29	0.0	0.0	0.0	0.0	0.0
1675000	1	55.72	0.24	0.0	0.0	0.0	0.0	0.0
1680000	1	56.63	0.33	0.0	0.0	0.0	0.0	0.0
1685000	1	56.09	0.31	0.0	0.0	0.0	0.0	0.0
1690000	1	55.75	0.23	0.0	0.0	0.0	0.0	0.0
1695000	1	53.79	0.19	0.0	0.0	0.0	0.0	0.0
1700000	1	56.39	0.3	0.0	0.0	0.0	0.0	0.0
1705000	1	56.05	0.3	0.0	0.0	0.0	0.0	0.0
1710000	1	56.42	0.32	0.0	0.0	0.0	0.0	0.0
1715000	1	54.96	0.27	0.0	0.0	0.0	0.0	0.0
1720000	1	56.24	0.27	0.0	0.0	0.0	0.0	0.0
1725000	1	56.09	0.26	0.0	0.0	0.0	0.0	0.0
1730000	1	54.3	0.18	0.0	0.0	0.0	0.0	0.0
1735000	1	57.35	0.33	0.0	0.0	0.0	0.0	0.0
1740000	1	56.35	0.34	0.0	0.0	0.0	0.0	0.0
1745000	1	56.09	0.25	0.0	0.0	0.0	0.0	0.0
1750000	1	56.61	0.29	0.0	0.0	0.0	0.0	0.0
1755000	1	56.96	0.36	0.0	0.0	0.0	0.0	0.0
1760000	1	54.22	0.19	0.0	0.0	0.0	0.0	0.0
1765000	1	55.9	0.32	0.0	0.0	0.0	0.0	0.0
1770000	1	55.78	0.27	0.0	0.0	0.0	0.0	0.0
1775000	1	56.87	0.32	0.0	0.0	0.0	0.0	0.0
1780000	1	55.81	0.3	0.0	0.0	0.0	0.0	0.0
1785000	1	56.36	0.32	0.0	0.0	0.0	0.0	0.0
1790000	1	55.2	0.25	0.0	0.0	0.0	0.0	0.0
1795000	1	55.45	0.27	0.0	0.0	0.0	0.0	0.0
1800000	1	56.79	0.32	0.0	0.0	0.0	0.0	0.0
1805000	1	55.54	0.25	0.0	0.0	0.0	0.0	0.0
1810000	1	55.46	0.26	0.0	0.0	0.0	0.0	0.0
1815000	1	55.22	0.28	0.0	0.0	0.0	0.0	0.0
1820000	1	54.36	0.25	0.0	0.0	0.0	0.0	0.0
1825000	1	55.22	0.29	0.0	0.0	0.0	0.0	0.0
1830000	1	54.77	0.2	0.0	0.0	0.0	0.0	0.0
1835000	1	54.94	0.27	0.0	0.0	0.0	0.0	0.0
1840000	1	55.32	0.26	0.0	0.0	0.0	0.0	0.0
1845000	1	54.61	0.24	0.0	0.0	0.0	0.0	0.0
1850000	1	54.63	0.22	0.0	0.0	0.0	0.0	0.0
1855000	1	55.69	0.25	0.0	0.0	0.0	0.0	0.0
1860000	1	56.03	0.27	0.0	0.0	0.0	0.0	0.0
1865000	1	56.19	0.31	0.0	0.0	0.0	0.0	0.0
1870000	1	56.4	0.29	0.0	0.0	0.0	0.0	0.0
1875000	1	55.27	0.25	0.0	0.0	0.0	0.0	0.0
1880000	1	58.65	0.4	0.0	0.0	0.0	0.0	0.0
1885000	1	56.44	0.34	0.0	0.0	0.0	0.0	0.0
1890000	1	56.91	0.34	0.0	0.0	0.0	0.0	0.0
1895000	1	57.49	0.32	0.0	0.0	0.0	0.0	0.0
1900000	1	54.41	0.22	0.0	0.0	0.0	0.0	0.0
1905000	1	54.86	0.26	0.0	0.0	0.0	0.0	0.0
